Index,name,north_offset,east_offset,latitude,longitude,lat_prcise,lon_prcise,lat_dm,lon_dm,mgrs_compact,mgrs_pretty
1,SA2,202541.640625,332102.0625,69.52839064396765,31.15499773059966,69°31'42.20,31°9'17.99,69°31.703,31°9.299,36WVC2799414368,36W VC 27994 14368
2,EWR,163311.671875,392221.5625,69.08815723223452,32.477859055865956,69°5'17.36,32°28'40.29,69°5.289,32°28.671,36WVB7920164280,36W VB 79201 64280
3,SA5,155076.859375,436743.75,68.93838909315227,33.52739994575486,68°56'18.20,33°31'38.63,68°56.303,33°31.643,36WWB2115147583,36W WB 21151 47583
4,SA5,155326.359375,443092.1875,68.92897809846244,33.68310885812138,68°55'44.32,33°40'59.19,68°55.738,33°40.986,36WWB2740846595,36W WB 27408 46595
5,SA3,238458.390625,350841.96875,69.81647374480968,31.788203999385345,69°48'59.30,31°47'17.53,69°48.988,31°47.292,36WVC5334045870,36W VC 53340 45870
6,SA2,237600.40625,382573.90625,69.75710506098243,32.59141516170014,69°45'25.57,32°35'29.09,69°45.426,32°35.484,36WVC8422238839,36W VC 84222 38839
7,SBORK-BORK,235209.984375,402413.3125,69.7018914910118,33.08171176274027,69°42'6.80,33°4'54.16,69°42.113,33°4.902,36WWC0316332631,36W WC 03163 32631
8,SA10,202852.4375,424250.625,69.3793494831493,33.46351214274723,69°22'45.65,33°27'48.64,69°22.760,33°27.810,36WWB1821796731,36W WB 18217 96731
9,SA10,204957.28125,446176.125,69.35717711188023,34.018387227749315,69°21'25.83,34°1'6.19,69°21.430,34°1.103,36WWB4006694523,36W WB 40066 94523
10,EWR,184024.859375,426875.5,69.20972814291459,33.4322633179608,69°12'35.02,33°25'56.14,69°12.583,33°25.935,36WWB1712377808,36W WB 17123 77808
11,SA5,177197.484375,424031.8125,69.15503435694113,33.32773796894215,69°9'18.12,33°19'39.85,69°9.302,33°19.664,36WWB1301571684,36W WB 13015 71684
12,SA2,181961.828125,382806,69.2677168124568,32.33209526459569,69°16'3.78,32°19'55.54,69°16.063,32°19.925,36WVB7361384358,36W VB 73613 84358
13,EWR,172903.40625,588995.9375,68.77618976692007,37.294016556763054,68°46'34.28,37°17'38.45,68°46.571,37°17.640,37WDS3108430363,37W DS 31084 30363
14,EWR,63573.45703125,481992.59375,68.05433829703954,34.14356810299646,68°3'15.61,34°8'36.84,68°3.260,34°8.614,36WWA4769249364,36W WA 47692 49364
15,SA5,63648.38671875,480729.5,68.05737968343531,34.11445130717631,68°3'26.56,34°6'52.02,68°3.442,34°6.867,36WWA4647149680,36W WA 46471 49680
16,EWR,63634.765625,461386.40625,68.09315954868778,33.66187034611632,68°5'35.37,33°39'42.73,68°5.589,33°39.712,36WWA2755753398,36W WA 27557 53398
17,EWR,67953.8203125,453632.34375,68.1450257120603,33.5008979622946,68°8'42.09,33°30'3.23,68°8.701,33°30.053,36WWA2080859117,36W WA 20808 59117
18,EWR,41770.390625,441461.5625,67.93712835248579,33.09200576165056,67°56'13.66,33°5'31.22,67°56.227,33°5.520,36WWA0385635857,36W WA 03856 35857
19,EWR,30301.171875,294422.375,68.05544566850347,29.58636467445049,68°3'19.60,29°35'10.91,68°3.326,29°35.181,35WPR0783751304,35W PR 07837 51304
20,EWR,-14293.446289062,339327.28125,67.60182891270487,30.485408924020977,67°36'6.58,30°29'7.47,67°36.109,30°29.124,36WUA9309800642,36W UA 93098 00642
21,EWR,-144544.109375,323891.90625,66.46823442400431,29.700019321835953,66°28'5.64,29°42'0.06,66°28.094,29°42.001,35WPP2026374701,35W PP 20263 74701
